Artist,Image URL
Misa Bee,https://i.scdn.co/image/ab67616d0000b27329b92fe30b2d4231988e58d3
Rosa Linn,https://i.scdn.co/image/ab6761610000e5eb3fe3d058cefbaa21f481f3e6
Bizarrap,https://i.scdn.co/image/ab6761610000e5eb14add0d3419426b84158b913
Rema,https://i.scdn.co/image/ab6761610000e5ebdc3fcc7b3eb99a22b3180eea
LF SYSTEM,https://i.scdn.co/image/ab6761610000e5eb0a8280f14e88b336697b970c
Benson Boone,https://i.scdn.co/image/ab6761610000e5ebb68234e1a673acc3d873d3e6
iñigo quintero,https://i.scdn.co/image/ab6761610000e5eb99fbffe98cc103595078bece
Manuel Turizo,https://i.scdn.co/image/ab6761610000e5ebfb87d42d66722931e826d630
Beny Jr,https://i.scdn.co/image/ab6761610000e5eb807f22297ee3cb75dff9370e
Bob Sinclar,https://i.scdn.co/image/ab6761610000e5eb41ee41ab4f9aa860d5afaaa2
WIU,https://i.scdn.co/image/ab6761610000e5eba99239905a1149b25c8a69ad
KayBlack,https://i.scdn.co/image/ab6761610000e5ebc755bb0b08112de569154a0d
Veigh,https://i.scdn.co/image/ab6761610000e5ebe32110a6a91105938bb4e026
PEDRO SAMPAIO,https://i.scdn.co/image/ab6761610000e5eb170bd6c7063ca25bebc4de93
Pedro Abrunhosa,https://i.scdn.co/image/ab6761610000e5eb21a2c4fcab686f1b23d7e2e6
Irina Barros,https://i.scdn.co/image/ab6761610000e5eb9c1e68ac884c1fe630c2481c
D.A.M.A,https://i.scdn.co/image/ab6761610000e5eb42366ed8b0a5db5aea0f8dc6
Anjos,https://i.scdn.co/image/ab6761610000e5eb70e5bc854155cba154c925c1
Sara Correia,https://i.scdn.co/image/ab6761610000e5eb0eadff176abea45989cdf104
Nena,https://i.scdn.co/image/ab6761610000e5eba1a9944af32557a8c9df7b9f
Kappa Jotta,https://i.scdn.co/image/ab6761610000e5eb9857fc97def647cf90f4eb7f
Mizzy Miles,https://i.scdn.co/image/ab6761610000e5eb632b63ae9ebf4c39b6c4ce12
Luís Trigacheiro,https://i.scdn.co/image/ab6761610000e5eb8ab37cf926b84c40d04bddc7
Teddy Swims,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
The Kid LAROI,https://i.scdn.co/image/ab6761610000e5ebb3fd5c8505c463f91d730ac3
Feid,https://i.scdn.co/image/ab6761610000e5eb961f8d198c115a5442c03e0b
CYRIL,https://i.scdn.co/image/ab6761610000e5ebccfb15021da6cf8b436946f5
Disclosure,https://i.scdn.co/image/ab6761610000e5eb3faf416d3be99d63fec18baa
Tyla,https://i.scdn.co/image/ab6761610000e5eb700efb65ff828ce6442b91d2
KAROL G,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec
Dimitri Vegas & Like Mike,https://i.scdn.co/image/ab6761610000e5ebc67ffae065558fd7f08a845c
Myke Towers,https://i.scdn.co/image/ab6761610000e5eb8372345609bebaf1e948ef7f
Quevedo,https://i.scdn.co/image/ab6761610000e5eb9fabcfc29eafa94841a28a9b
Loreen,https://i.scdn.co/image/ab6761610000e5eb41763765387d46c3e127de37
Wakyin,https://i.scdn.co/image/ab6761610000e5eb34aed112f4e24f1ff76b7457
Dj Tchouzen,https://i.scdn.co/image/ab6761610000e5eb3107050c4e4c50b78a058255
GIMS,https://i.scdn.co/image/ab6761610000e5eb77144f838397a467e807df65
DELLAFUENTE,https://i.scdn.co/image/ab6761610000e5eb8bbfd0d545ef15b909ffe49e
Borges,https://i.scdn.co/image/ab6761610000e5ebed075c6275021ad48aba48a2
DENNIS,https://i.scdn.co/image/ab6761610000e5eb84e9632f86c291cd29960256
Mc Paiva ZS,https://i.scdn.co/image/ab6761610000e5eb633eb45aed49a3318ef2efcb
Nuno Ribeiro,https://i.scdn.co/image/ab6761610000e5eb542ad0f22437b895856e22f5
LON3R JOHNY,https://i.scdn.co/image/ab6761610000e5eb47dbcb1dff083c6b764811e8
