Year,Track Name,Artists,Popularity,Duration (min),Spotify URL
2016,Serias Tu,Força Suprema,47,5.74,https://open.spotify.com/track/0zNsrOSVp9lQ3wManM7570
2017,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",92,3.01,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
2017,Shape of You,Ed Sheeran,91,3.9,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2017,Believer,Imagine Dragons,90,3.41,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
2017,Something Just Like This,"The Chainsmokers, Coldplay",90,4.12,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
2017,Apocalypse,Cigarettes After Sex,90,4.84,https://open.spotify.com/track/1oAwsWBovWRIp7qLMGPIet
2017,Perfect,Ed Sheeran,90,4.39,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
2017,Thunder,Imagine Dragons,88,3.12,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
2017,There's Nothing Holdin' Me Back,Shawn Mendes,88,3.32,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
2017,Passionfruit,Drake,87,4.98,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
2017,Unforgettable,"French Montana, Swae Lee",87,3.9,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
2017,HUMBLE.,Kendrick Lamar,87,2.95,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2017,Sign of the Times,Harry Styles,87,5.68,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
2017,Treat You Better,Shawn Mendes,87,3.13,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
2017,Swim,Chase Atlantic,87,3.81,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
2017,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",86,3.56,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
2017,Beggin',Måneskin,86,3.53,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2017,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",86,3.5,https://open.spotify.com/track/1Q7EgiMOuwDcB0PJC6AzON
2017,Whatever It Takes,Imagine Dragons,85,3.35,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
2017,Feel It Still,Portugal. The Man,85,2.72,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
2017,ocean eyes,Billie Eilish,85,3.34,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
2017,Se Preparó,Ozuna,84,3.13,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
2017,Chantaje (feat. Maluma),"Shakira, Maluma",84,3.26,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
